   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S
   S;   W;   W;   W;   W;   B;   W;   W;   W;   W;   W;   W;   W;   W;   B;   W;   W;   W;   W;   S
   S;   W;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   W;   S
   S;   W;   N;   P;   P;   P;   P;   P;   P;   P;   P;   P;   P;   P;   P;   P;   P;   N;   W;   S
   S;   W;   N;   P;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   P;   N;   W;   S
   S;   B;   N;   P;   N;   N;   W;   W;   W;   W;   W;   W;   W;   W;   N;   N;   P;   N;   B;   S
   S;   W;   N;   P;   N;   N;   W;   W;   W;   W;   W;   W;   W;   W;   N;   N;   P;   N;   W;   S
   S;   W;   N;   P;   N;   N;   W;   W;   W;   W;   W;   W;   W;   W;   N;   N;   P;   N;   W;   S
   S;   B;   N;   P;   N;   N;   W;   W;   W;   W;   W;   W;   W;   W;   N;   N;   P;   N;   B;   S
   S;   W;   N;   P;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   P;   N;   W;   S
   S;   W;   N;   P;   P;   P;   P;   P;   P;   P;   P;   P;   P;   P;   P;   P;   P;   N;   W;   S
   S;   W;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   N;   W;   S
   S;   W;   W;   W;   W;   B;   W;   W;   W;   W;   W;   W;   W;   W;   B;   W;   W;   W;   W;   S
   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S;   S
