commandline arguments: Namespace(input='.\\maps\\BASIC_OFFICE_LAYOUT', numpeople=200, random_state=8675309, max_time=None, no_spread_fire=False, no_graphical_output=False, output=False, fire_rate=2, bottleneck_delay=0.2, animation_delay=1, scale=8, speed=3.0, sample_k=8, sample_seed=123, seconds_per_unit=1.0, start_delay_dist='none', start_delay=0.0, start_delay_std=0.0) 

===============================================================================
initialized a 64x50 floor with 200 people in 2400 locations
initialized 12 bottleneck(s)
detected 0 fire zone(s)

good luck escaping!
===============================================================================
LOGS
INFO	 fire disabled (treated as walls)
ROOM-EXIT	 t=   0.364 s	 person  153 left room 4 (OFFICE_RIGHT1) occ=31 area=100.00 m^2
ROOM-EXIT	 t=   0.376 s	 person  194 left room 6 (OFFICE_RIGHT3) occ=39 area=100.00 m^2
ROOM-EXIT	 t=   0.598 s	 person  104 left room 2 (OFFICE_LEFT2) occ=38 area=100.00 m^2
ROOM-EXIT	 t=   0.971 s	 person  160 left room 1 (OFFICE_LEFT1) occ=31 area=100.00 m^2
ROOM-EXIT	 t=   1.038 s	 person   93 left room 5 (OFFICE_RIGHT2) occ=34 area=100.00 m^2
ROOM-EXIT	 t=   1.084 s	 person   51 left room 6 (OFFICE_RIGHT3) occ=38 area=100.00 m^2
ROOM-EXIT	 t=   1.152 s	 person   33 left room 5 (OFFICE_RIGHT2) occ=33 area=100.00 m^2
ROOM-EXIT	 t=   1.343 s	 person   35 left room 2 (OFFICE_LEFT2) occ=37 area=100.00 m^2
ROOM-EXIT	 t=   1.356 s	 person   72 left room 5 (OFFICE_RIGHT2) occ=32 area=100.00 m^2
ROOM-EXIT	 t=   1.469 s	 person  133 left room 2 (OFFICE_LEFT2) occ=36 area=100.00 m^2
ROOM-EXIT	 t=   1.687 s	 person   25 left room 5 (OFFICE_RIGHT2) occ=31 area=100.00 m^2
ROOM-EXIT	 t=   1.718 s	 person  110 left room 2 (OFFICE_LEFT2) occ=35 area=100.00 m^2
ROOM-EXIT	 t=   1.755 s	 person  197 left room 2 (OFFICE_LEFT2) occ=34 area=100.00 m^2
ROOM-EXIT	 t=   1.813 s	 person  120 left room 2 (OFFICE_LEFT2) occ=33 area=100.00 m^2
ROOM-EXIT	 t=   1.852 s	 person  130 left room 4 (OFFICE_RIGHT1) occ=30 area=100.00 m^2
ROOM-EXIT	 t=   1.884 s	 person  187 left room 6 (OFFICE_RIGHT3) occ=37 area=100.00 m^2
ROOM-EXIT	 t=   1.973 s	 person   52 left room 6 (OFFICE_RIGHT3) occ=36 area=100.00 m^2
ROOM-EXIT	 t=   2.044 s	 person   22 left room 3 (OFFICE_LEFT3) occ=27 area=100.00 m^2
ROOM-EXIT	 t=   2.063 s	 person  101 left room 2 (OFFICE_LEFT2) occ=32 area=100.00 m^2
ROOM-EXIT	 t=   2.307 s	 person   98 left room 5 (OFFICE_RIGHT2) occ=30 area=100.00 m^2
ROOM-EXIT	 t=   2.310 s	 person   91 left room 6 (OFFICE_RIGHT3) occ=35 area=100.00 m^2
ROOM-EXIT	 t=   2.340 s	 person   74 left room 3 (OFFICE_LEFT3) occ=26 area=100.00 m^2
ROOM-EXIT	 t=   2.395 s	 person   76 left room 3 (OFFICE_LEFT3) occ=25 area=100.00 m^2
ROOM-EXIT	 t=   2.407 s	 person   19 left room 2 (OFFICE_LEFT2) occ=31 area=100.00 m^2
ROOM-EXIT	 t=   2.465 s	 person  173 left room 5 (OFFICE_RIGHT2) occ=29 area=100.00 m^2
ROOM-EXIT	 t=   2.490 s	 person    5 left room 3 (OFFICE_LEFT3) occ=24 area=100.00 m^2
ROOM-EXIT	 t=   2.533 s	 person  151 left room 6 (OFFICE_RIGHT3) occ=34 area=100.00 m^2
ROOM-EXIT	 t=   2.537 s	 person  112 left room 2 (OFFICE_LEFT2) occ=30 area=100.00 m^2
ROOM-EXIT	 t=   2.549 s	 person   29 left room 4 (OFFICE_RIGHT1) occ=29 area=100.00 m^2
ROOM-EXIT	 t=   2.565 s	 person  134 left room 5 (OFFICE_RIGHT2) occ=28 area=100.00 m^2
ROOM-EXIT	 t=   2.639 s	 person  191 left room 5 (OFFICE_RIGHT2) occ=27 area=100.00 m^2
ROOM-EXIT	 t=   2.714 s	 person  177 left room 5 (OFFICE_RIGHT2) occ=26 area=100.00 m^2
ROOM-EXIT	 t=   2.722 s	 person   15 left room 2 (OFFICE_LEFT2) occ=29 area=100.00 m^2
ROOM-EXIT	 t=   2.809 s	 person  168 left room 4 (OFFICE_RIGHT1) occ=28 area=100.00 m^2
ROOM-EXIT	 t=   2.874 s	 person   59 left room 3 (OFFICE_LEFT3) occ=23 area=100.00 m^2
ROOM-EXIT	 t=   2.887 s	 person   18 left room 5 (OFFICE_RIGHT2) occ=25 area=100.00 m^2
ROOM-EXIT	 t=   2.888 s	 person   86 left room 5 (OFFICE_RIGHT2) occ=24 area=100.00 m^2
ROOM-EXIT	 t=   3.020 s	 person   32 left room 6 (OFFICE_RIGHT3) occ=33 area=100.00 m^2
ROOM-EXIT	 t=   3.069 s	 person   10 left room 5 (OFFICE_RIGHT2) occ=23 area=100.00 m^2
ROOM-EXIT	 t=   3.186 s	 person  150 left room 6 (OFFICE_RIGHT3) occ=32 area=100.00 m^2
ROOM-EXIT	 t=   3.188 s	 person  121 left room 3 (OFFICE_LEFT3) occ=22 area=100.00 m^2
ROOM-EXIT	 t=   3.285 s	 person    1 left room 4 (OFFICE_RIGHT1) occ=27 area=100.00 m^2
ROOM-EXIT	 t=   3.307 s	 person   95 left room 5 (OFFICE_RIGHT2) occ=22 area=100.00 m^2
ROOM-EXIT	 t=   3.364 s	 person   23 left room 2 (OFFICE_LEFT2) occ=28 area=100.00 m^2
ROOM-EXIT	 t=   3.376 s	 person   96 left room 4 (OFFICE_RIGHT1) occ=26 area=100.00 m^2
ROOM-EXIT	 t=   3.479 s	 person   73 left room 2 (OFFICE_LEFT2) occ=27 area=100.00 m^2
ROOM-EXIT	 t=   3.521 s	 person  181 left room 5 (OFFICE_RIGHT2) occ=21 area=100.00 m^2
ROOM-EXIT	 t=   3.602 s	 person   81 left room 2 (OFFICE_LEFT2) occ=26 area=100.00 m^2
ROOM-EXIT	 t=   3.618 s	 person  103 left room 3 (OFFICE_LEFT3) occ=21 area=100.00 m^2
ROOM-EXIT	 t=   3.648 s	 person   66 left room 6 (OFFICE_RIGHT3) occ=31 area=100.00 m^2
ROOM-EXIT	 t=   3.664 s	 person   67 left room 5 (OFFICE_RIGHT2) occ=20 area=100.00 m^2
ROOM-EXIT	 t=   3.675 s	 person   27 left room 4 (OFFICE_RIGHT1) occ=25 area=100.00 m^2
ROOM-EXIT	 t=   3.744 s	 person   17 left room 3 (OFFICE_LEFT3) occ=20 area=100.00 m^2
ROOM-EXIT	 t=   3.773 s	 person  149 left room 2 (OFFICE_LEFT2) occ=25 area=100.00 m^2
ROOM-EXIT	 t=   3.785 s	 person   14 left room 2 (OFFICE_LEFT2) occ=24 area=100.00 m^2
ROOM-EXIT	 t=   3.844 s	 person  157 left room 2 (OFFICE_LEFT2) occ=23 area=100.00 m^2
ROOM-EXIT	 t=   3.861 s	 person  156 left room 6 (OFFICE_RIGHT3) occ=30 area=100.00 m^2
ROOM-EXIT	 t=   3.882 s	 person  199 left room 3 (OFFICE_LEFT3) occ=19 area=100.00 m^2
ROOM-EXIT	 t=   4.062 s	 person   55 left room 2 (OFFICE_LEFT2) occ=22 area=100.00 m^2
ROOM-EXIT	 t=   4.111 s	 person  174 left room 6 (OFFICE_RIGHT3) occ=29 area=100.00 m^2
ROOM-EXIT	 t=   4.259 s	 person   64 left room 2 (OFFICE_LEFT2) occ=21 area=100.00 m^2
ROOM-EXIT	 t=   4.271 s	 person  161 left room 4 (OFFICE_RIGHT1) occ=24 area=100.00 m^2
ROOM-EXIT	 t=   4.271 s	 person  152 left room 2 (OFFICE_LEFT2) occ=20 area=100.00 m^2
ROOM-EXIT	 t=   4.276 s	 person   70 left room 4 (OFFICE_RIGHT1) occ=23 area=100.00 m^2
ROOM-EXIT	 t=   4.290 s	 person   45 left room 6 (OFFICE_RIGHT3) occ=28 area=100.00 m^2
ROOM-EXIT	 t=   4.312 s	 person  107 left room 5 (OFFICE_RIGHT2) occ=19 area=100.00 m^2
ROOM-EXIT	 t=   4.328 s	 person   85 left room 2 (OFFICE_LEFT2) occ=19 area=100.00 m^2
ROOM-EXIT	 t=   4.336 s	 person   80 left room 6 (OFFICE_RIGHT3) occ=27 area=100.00 m^2
ROOM-EXIT	 t=   4.342 s	 person  137 left room 5 (OFFICE_RIGHT2) occ=18 area=100.00 m^2
ROOM-EXIT	 t=   4.399 s	 person   84 left room 6 (OFFICE_RIGHT3) occ=26 area=100.00 m^2
ROOM-EXIT	 t=   4.407 s	 person   63 left room 2 (OFFICE_LEFT2) occ=18 area=100.00 m^2
ROOM-EXIT	 t=   4.417 s	 person  143 left room 1 (OFFICE_LEFT1) occ=30 area=100.00 m^2
ROOM-EXIT	 t=   4.438 s	 person  136 left room 3 (OFFICE_LEFT3) occ=18 area=100.00 m^2
ROOM-EXIT	 t=   4.444 s	 person  165 left room 6 (OFFICE_RIGHT3) occ=25 area=100.00 m^2
ROOM-EXIT	 t=   4.444 s	 person  117 left room 1 (OFFICE_LEFT1) occ=29 area=100.00 m^2
ROOM-EXIT	 t=   4.499 s	 person  183 left room 3 (OFFICE_LEFT3) occ=17 area=100.00 m^2
ROOM-EXIT	 t=   4.579 s	 person   39 left room 3 (OFFICE_LEFT3) occ=16 area=100.00 m^2
ROOM-EXIT	 t=   4.597 s	 person   46 left room 3 (OFFICE_LEFT3) occ=15 area=100.00 m^2
ROOM-EXIT	 t=   4.620 s	 person  164 left room 1 (OFFICE_LEFT1) occ=28 area=100.00 m^2
ROOM-EXIT	 t=   4.660 s	 person   49 left room 3 (OFFICE_LEFT3) occ=14 area=100.00 m^2
ROOM-EXIT	 t=   4.668 s	 person  169 left room 1 (OFFICE_LEFT1) occ=27 area=100.00 m^2
ROOM-EXIT	 t=   4.673 s	 person  129 left room 4 (OFFICE_RIGHT1) occ=22 area=100.00 m^2
ROOM-EXIT	 t=   4.678 s	 person   12 left room 1 (OFFICE_LEFT1) occ=26 area=100.00 m^2
ROOM-EXIT	 t=   4.726 s	 person  108 left room 4 (OFFICE_RIGHT1) occ=21 area=100.00 m^2
ROOM-EXIT	 t=   4.730 s	 person  175 left room 4 (OFFICE_RIGHT1) occ=20 area=100.00 m^2
ROOM-EXIT	 t=   4.776 s	 person   82 left room 5 (OFFICE_RIGHT2) occ=17 area=100.00 m^2
ROOM-EXIT	 t=   4.788 s	 person   48 left room 2 (OFFICE_LEFT2) occ=17 area=100.00 m^2
ROOM-EXIT	 t=   4.797 s	 person  142 left room 1 (OFFICE_LEFT1) occ=25 area=100.00 m^2
ROOM-EXIT	 t=   4.806 s	 person  154 left room 2 (OFFICE_LEFT2) occ=16 area=100.00 m^2
ROOM-EXIT	 t=   4.820 s	 person    9 left room 4 (OFFICE_RIGHT1) occ=19 area=100.00 m^2
ROOM-EXIT	 t=   4.823 s	 person   34 left room 6 (OFFICE_RIGHT3) occ=24 area=100.00 m^2
