id,start_i,start_j,exit_time_s
0,3,47,37.535512599516025
1,9,28,176.32756533951633
2,2,61,51.08927617126202
3,4,4,108.30764688685719
4,6,57,129.86712754747762
5,11,25,95.86857849194061
6,36,4,128.226758455417
7,27,2,270.2465282217126
8,7,42,100.88437793942407
9,27,9,143.16421259267952
10,8,44,115.51476369888118
11,47,54,40.82404143849634
12,34,6,152.61175347688052
13,6,48,55.22170356894292
14,39,61,268.16155140093923
15,32,12,119.23371619581629
16,32,18,348.7567152145668
17,41,2,121.08043596927185
18,11,34,120.81262345702393
19,15,5,232.1574511659847
20,6,8,81.53148530807388
21,46,32,44.65747243557168
22,46,25,81.30960390090499
23,17,4,158.1877348419799
24,24,10,350.57264889542284
25,12,9,86.66155791111485
26,3,32,75.79102592265185
27,2,67,89.19405216762972
28,45,31,89.1982035473896
29,37,9,81.86236482457889
30,40,6,81.03395521814852
31,43,7,92.59817035148231
32,25,21,184.23303673942948
33,4,34,113.75917963863552
34,25,16,316.5673153126651
35,38,8,61.02967921066783
36,24,3,241.2372860639802
37,45,34,75.07478718477759
38,6,17,65.6463886024962
39,3,43,91.97929118022228
40,45,7,81.05891834592833
41,43,25,44.07935479867228
42,9,37,140.42834656091435
43,8,67,133.35856091425902
44,15,10,266.25328761137627
45,44,44,73.79653622287758
46,46,28,30.704444439518777
47,2,38,250.7199910663689
48,4,67,49.787504460723675
49,7,45,154.26008510472337
50,22,9,257.781418616386
51,9,22,128.2200693266835
52,9,64,77.13310588920103
53,27,18,177.20245714970662
54,4,37,64.81939474625675
55,40,59,87.2770152253795
56,47,47,120.18125411122453
57,5,47,69.96991047605917
58,20,13,134.0634107767046
59,26,2,352.7896805088781
60,14,8,96.1871905065883
61,38,49,186.81766011963077
62,42,49,129.27243347853164
63,45,36,105.30816147973354
64,41,13,176.19286257936446
65,6,9,131.08510479727173
66,17,5,120.1598667396704
67,37,13,135.98039781842735
68,42,46,116.29086857870679
69,41,39,312.97098434235124
70,7,7,61.54525042061591
71,31,9,121.2885287834299
72,9,45,84.88352918582657
73,41,47,75.41805356832451
74,39,43,143.21863188031378
75,44,14,68.16650448759873
76,8,23,226.93179991217505
77,46,67,94.10005200949158
78,3,19,212.23483550141654
79,8,67,69.30529098897885
80,37,18,135.21939572908397
81,10,61,183.1121823393704
82,30,3,235.31726534656482
83,46,63,77.61199557098227
84,44,54,101.87537442013753
85,41,45,137.7282840840573
86,18,16,241.61387951410683
87,10,42,104.32512514368302
88,15,3,265.29505163367446
89,7,22,277.2106805554613
90,25,18,148.3579302297262
91,42,24,105.74930858766062
92,12,13,147.06651644024032
93,2,55,59.3875462143506
94,45,63,45.35479954183537
95,2,11,145.10989747682495
96,42,25,54.0635136074124
97,6,33,114.29988804991895
98,40,20,158.16758394766651
99,45,27,281.83649231320726
100,10,15,142.10975125062282
101,8,14,143.82016047053918
102,37,67,96.34844180131893
103,10,8,233.1220371792306
104,38,2,104.28313840971474
105,7,12,405.78407798618053
106,2,39,125.1740970231489
107,11,35,88.31214328159146
108,5,65,560.4635724503877
109,5,55,45.686315180908835
110,43,44,119.95383486629996
111,25,20,169.26991946148607
112,46,51,86.55658398308401
113,12,11,215.08537485342862
114,38,29,81.90551046501491
115,7,52,105.89417939404134
116,15,19,222.39941165345357
117,33,10,147.1282219255726
118,13,6,106.61641693522989
119,16,67,82.78642433976646
120,9,27,48.73280950611697
121,16,7,139.71380935858372
122,47,29,93.4862957075193
123,39,41,151.2321836160096
124,38,41,135.2456037009014
125,8,21,116.87433844597936
126,2,26,28.061942986628857
127,2,29,308.68717486005056
128,26,19,135.07687787282757
129,47,18,47.80692965992092
130,35,4,211.42985026355544
131,9,54,125.42956799476771
132,10,50,420.03789315776226
133,6,49,53.40809814490463
134,41,5,91.00927016462416
135,25,17,193.64116959338688
136,7,66,99.35453233483614
137,11,52,103.31339710892838
138,8,23,72.51866051316325
139,43,61,84.86690554322394
140,47,64,83.5968424841397
141,6,9,191.96201191816456
142,2,9,71.93547634968556
143,6,41,114.93275042336586
144,11,53,145.26637738429292
145,23,18,215.0549511177605
146,7,10,75.12556103818397
147,32,15,103.83636590825218
148,39,39,114.6393818854773
149,46,58,135.91638191814036
150,9,13,156.97826807308468
151,10,63,103.4216796430202
152,41,31,133.1390268985335
153,10,6,177.46282549199728
154,20,19,147.94910796084596
155,46,35,80.40476555066432
156,36,17,150.65521916363127
157,5,56,248.24207495159422
158,19,11,123.79843921311611
159,9,38,132.22208109691041
160,15,13,100.65680963668876
161,3,30,72.57618267306992
162,10,24,79.94548296597539
163,7,16,128.6553368979897
164,35,2,139.34987598721563
165,30,15,122.92133556046018
166,5,7,86.0565413776108
167,41,26,84.67777524471646
168,10,39,200.28102309450753
169,27,16,317.17593537633365
170,43,16,128.6851346835158
171,15,20,254.79111474852206
172,9,25,126.31144879342651
173,7,26,86.88196413931536
174,46,66,25.767242994405514
175,36,12,352.26769746769224
176,37,6,137.53512276529923
177,7,19,127.48945946795831
178,10,29,265.36796426290005
179,36,6,178.05589791265757
180,41,41,105.47560330568794
181,47,27,45.881843364126475
182,12,19,165.87178306170682
183,31,15,220.41997806023068
184,14,6,112.57969783089885
185,10,49,109.69489061243509
186,38,29,71.77103687054736
187,6,41,131.9106860266481
188,5,52,37.18208836820173
189,40,5,129.69384308653815
190,39,27,205.429085766538
191,8,55,148.65599749558294
192,6,60,225.65525840340845
193,3,29,87.13925363375867
194,38,48,276.2384888221824
195,41,2,189.602104093523
196,39,6,387.58990827506886
197,44,25,97.26588804887966
198,46,11,101.5236784060525
199,22,67,196.47889354282592
200,7,3,293.51405591273965
201,41,25,99.77699385831842
202,42,43,128.47473432237422
203,45,40,101.22548274703182
204,7,59,111.67477590308302
205,41,60,156.69426735352607
206,27,19,297.15491409962334
207,47,16,64.47427549760194
208,29,3,154.10181910685324
209,40,63,83.39231655585053
210,8,33,118.16966644420769
211,30,7,134.4808249728498
212,45,5,316.0061686742302
213,8,33,135.0493257498579
214,5,61,84.24437404868428
215,26,8,170.51858574200102
216,19,2,124.24095574524281
217,16,14,177.09626212246815
218,10,13,63.91510351232654
219,7,37,97.48870158611228
220,44,57,78.27275089612009
221,35,8,100.26545269264035
222,17,18,145.7481046625435
223,10,56,88.10039500898036
224,9,32,88.20838568521518
225,39,29,119.65366946825327
226,6,15,143.26259591939518
227,38,63,95.4041082123094
228,4,11,134.52149234441745
229,9,53,64.70367486532606
